name,melakarta,parent,cakram,alternate_names,arohanam,avarohanam,anya_svarams
svaramanjari,,50,,,"S,G3,M2,P,D1,Ṡ","Ṡ,N2,D1,P,M2,G3,S",
svararanjani,,22,,,"S,R2,G2,M1,D2,N2,Ṡ","Ṡ,N2,P,M1,G2,M1,R2,S",
svarAvali,,28,,,"S,M1,G3,M1,P,N2,D2,N2,Ṡ","Ṡ,N2,D2,P,M1,G3,R2,S",
svaravedi,,28,,,"S,M1,G3,M1,P,N2,D2,N2,Ṡ","Ṡ,N2,D2,P,M1,G3,S",
svarnamalli,,8,,,"S,G2,M1,P,D1,N1,Ṡ","Ṡ,N2,D1,P,M1,G2,R1,S",
svayambhUshvara,,65,,,"S,G3,P,Ṡ","Ṡ,P,G3,S",
SyAmakaLyANi,,12,,,"S,M1,G2,M1,P,D3,N3,Ṡ","Ṡ,N3,P,D3,N3,P,M1,G2,R1,S",
SyAmalam,,55,,,"S,R2,G2,M2,P,D1,N1,Ṡ","Ṡ,N1,D1,P,M2,G2,R2,S",
SyAmalAngi,55,NULL,Disi,,"S,R2,G2,M2,P,D1,N1,S","S,N1,D1,P,M2,G2,R2,S",
SyAmali,,16,,,"S,G3,P,D2,N2,Ṡ","Ṡ,N2,D2,P,G3,R1,S",
takka,,15,,,"S,R1,S,G3,M1,G3,P,M1,D1,N3,Ṡ","Ṡ,N3,D1,P,M1,G3,R1,S",
tAnarUpi,6,NULL,Indu,,"S,R1,G1,M1,P,D3,N3,S","S,N3,D3,P,M1,G1,R1,S",
tAndavam,,29,,,"S,G3,P,D2,N3,Ṡ","Ṡ,N3,D2,P,G3,S",
tAndavapriya,,51,,,"S,R1,G3,M2,P,Ṡ","Ṡ,P,M2,G3,R1,S",
tanukIrti,,6,,,"S,R1,M1,P,N3,Ṡ","Ṡ,N3,D3,N3,P,M1,G1,M1,R1,S",
tArakagauLa,,15,,,"S,G3,M1,D1,N3,Ṡ","Ṡ,N3,D1,M1,G3,S",
tarangiNi,,26,,,"S,R2,G3,P,D1,N2,D1,P,D1,S","S,D1,P,G3,R2,S,G3,M1,R2,G3,S",
tarangiNi,,26,,,"S,R2,G3,P,D1,N2,D1,S","S,D1,P,M1,G3,R2,S",
tarkSika,,20,,,"S,R2,M1,P,N2,Ṡ","Ṡ,N2,D1,P,M1,R2,G2,R2,S",
tatillatika,,1,,,"S,R1,M1,P,D1,Ṡ","Ṡ,D1,P,M1,R1,S",
tavamukhAri,,22,,,"S,R2,G2,P,D2,Ṡ","Ṡ,N2,D2,P,M1,G2,R2,S",
tavapriya,,69,,,"S,R3,M2,P,N3,Ṡ","Ṡ,N3,D1,P,M2,G3,R3,S",
tilakamandAri,,70,,,"S,R3,M2,P,D2,Ṡ","Ṡ,D2,P,M2,G3,R3,S",
tilakavati,,28,,,"S,R2,G3,M1,P,D2,P,Ṡ","Ṡ,D2,P,M1,R2,S",
tillang {Hindustani},,28,,,"S,G3,M1,P,N3,Ṡ","Ṡ,N2,P,M1,G3,S",N3
tIvravAhini,,46,,,"S,R1,G2,M2,P,D2,P,N2,Ṡ","Ṡ,N2,D2,P,M2,G2,R1,G2,M2,R1,S",
tOyavEgavAhini,,16,,,"S,R1,G3,M1,P,D2,N2,Ṡ","Ṡ,N2,D2,P,M1,G3,R1,S",
trivENi,,64,,,"S,R2,M2,P,D2,N2,Ṡ","Ṡ,N2,D2,P,M2,R2,S",
tyAgarAja mangalam,,23,,,"S,G2,M1,P,N3,Ṡ","Ṡ,N3,D2,P,M1,G2,R2,S",
udayarAga,,20,,,"S,G2,M1,P,N2,Ṡ","Ṡ,N2,P,M1,G2,S",
udayaravicandrika,,9,,,"S,G2,M1,P,N2,Ṡ","Ṡ,N2,P,M1,G2,S",
umAbharaNam,,28,,,"S,R2,G3,M1,P,D2,N2,Ṡ","Ṡ,N2,P,M1,R2,G3,M1,R2,S",
Urmika,,57,,,"S,R2,G2,M2,P,N3,Ṡ","Ṡ,N3,P,M2,G2,R2,S",
ushAbharaNam,,26,,,"S,G3,M1,D1,P,M1,D1,N2,Ṡ","Ṡ,N2,D1,P,M1,G3,R2,G3,M1,R2,S",
ushAvali,,15,,,"S,R1,M1,P,D1,Ṡ","Ṡ,N3,D1,M1,P,M1,R1,S",
utthari,,64,,,"S,G3,M2,P,D2,N2,Ṡ","Ṡ,N2,D2,M2,G3,S",
vAcaspati,64,NULL,Rudra,,"S,R2,G3,M2,P,D1,N3,S","S,N3,D1,P,M2,G3,R2,S",
